,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
100,101,The Da Vinci Code,760006945.0,217536138.0,28.6,542470807.0,71.4,2006
101,102,Fast & Furious Presents: Hobbs & Shaw,759056935.0,173956935.0,22.9,585100000.0,77.1,2019
102,103,Maleficent,758410378.0,241410378.0,31.8,517000000.0,68.2,2014
103,104,The Amazing Spider-Man,757930663.0,262030663.0,34.6,495900000.0,65.4,2012
104,105,The Hunger Games: Mockingjay - Part 1,755356711.0,337135885.0,44.6,418220826.0,55.4,2014
105,106,Shrek Forever After,752600867.0,238736787.0,31.7,513864080.0,68.3,2010
106,107,Madagascar 3: Europe's Most Wanted,746921274.0,216391482.0,29.0,530529792.0,71.0,2012
107,108,Suicide Squad,746846894.0,325100054.0,43.5,421746840.0,56.5,2016
108,109,X-Men: Days of Future Past,746045700.0,233921534.0,31.4,512124166.0,68.6,2014
109,110,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115.0,291710957.0,39.2,453302158.0,60.8,2005
110,111,Monsters University,743559607.0,268492764.0,36.1,475066843.0,63.9,2013
111,112,The Matrix Reloaded,741846459.0,281576461.0,38.0,460269998.0,62.0,2003
112,113,Up,735099082.0,293004164.0,39.9,442094918.0,60.1,2009
113,114,Ne Zha,726063471.0,3695533.0,0.5,722367938.0,99.5,2019
114,115,Gravity,723192705.0,274092705.0,37.9,449100000.0,62.1,2013
115,116,Captain America: The Winter Soldier,714421503.0,259766572.0,36.4,454654931.0,63.6,2014
116,117,The Twilight Saga: Breaking Dawn - Part 1,712205856.0,281287133.0,39.5,430918723.0,60.5,2011
117,118,The Twilight Saga: New Moon,711020081.0,297816253.0,41.9,413203828.0,58.1,2009
118,119,Dawn of the Planet of the Apes,710644566.0,208545589.0,29.4,502098977.0,70.6,2014
119,120,Transformers,709709780.0,319246193.0,45.0,390463587.0,55.0,2007
120,121,The Amazing Spider-Man 2,708982323.0,202853933.0,28.6,506128390.0,71.4,2014
121,122,It,701796444.0,328828874.0,46.9,372967570.0,53.1,2017
122,123,The Wandering Earth,699760773.0,5875487.0,0.8,693885286.0,99.2,2019
123,124,The Twilight Saga: Eclipse,698491347.0,300531751.0,43.0,397959596.0,57.0,2010
124,125,Mission: Impossible - Ghost Protocol,694713380.0,209397903.0,30.1,485315477.0,69.9,2011
125,126,The Hunger Games,694394724.0,408010692.0,58.8,286384032.0,41.2,2012
126,127,Moana,690845539.0,248757044.0,36.0,442088495.0,64.0,2016
127,128,Mission: Impossible - Rogue Nation,682714267.0,195042377.0,28.6,487671890.0,71.4,2015
128,129,Forrest Gump,678233702.0,330455270.0,48.7,347778432.0,51.3,1994
129,130,Doctor Strange,677718395.0,232641920.0,34.3,445076475.0,65.7,2016
130,131,Interstellar,677471339.0,188020017.0,27.8,489451322.0,72.2,2014
131,132,The Sixth Sense,672806292.0,293506292.0,43.6,379300000.0,56.4,1999
132,133,Man of Steel,668045518.0,291045518.0,43.6,377000000.0,56.4,2013
133,134,Ice Age: The Meltdown,667094506.0,195330621.0,29.3,471763885.0,70.7,2006
134,135,Kung Fu Panda 2,665692281.0,165249063.0,24.8,500443218.0,75.2,2011
135,136,The Hunger Games: Mockingjay - Part 2,658344137.0,281723902.0,42.8,376620235.0,57.2,2015
136,137,Justice League,657924295.0,229024295.0,34.8,428900000.0,65.2,2017
137,138,Big Hero 6,657827828.0,222527828.0,33.8,435300000.0,66.2,2014
138,139,Fantastic Beasts: The Crimes of Grindelwald,654855901.0,159555901.0,24.4,495300000.0,75.6,2018
139,140,Pirates of the Caribbean: The Curse of the Black Pearl,654264015.0,305413918.0,46.7,348850097.0,53.3,2003
140,141,Star Wars: Episode II - Attack of the Clones,653779970.0,310676740.0,47.5,343103230.0,52.5,2002
141,142,Thor: The Dark World,644783140.0,206362140.0,32.0,438421000.0,68.0,2013
142,143,Sing,634151679.0,270395425.0,42.6,363756254.0,57.4,2016
143,144,"Monsters, Inc.",632316649.0,289916256.0,45.8,342400393.0,54.2,2001
144,145,Kung Fu Panda,631746197.0,215434591.0,34.1,416311606.0,65.9,2008
145,146,The Incredibles,631606713.0,261441092.0,41.4,370165621.0,58.6,2004
146,147,The Martian,630161890.0,228433663.0,36.2,401728227.0,63.8,2015
147,148,Hancock,629443428.0,227946274.0,36.2,401497154.0,63.8,2008
148,149,Fast Five,626137675.0,209837675.0,33.5,416300000.0,66.5,2011
149,150,Men in Black 3,624026776.0,179020854.0,28.7,445005922.0,71.3,2012
150,151,Iron Man 2,623933331.0,312433331.0,50.1,311500000.0,49.9,2010
151,152,Ratatouille,623726085.0,206445654.0,33.1,417280431.0,66.9,2007
152,153,Ant-Man and the Wasp,622674139.0,216648740.0,34.8,406025399.0,65.2,2018
153,154,How to Train Your Dragon 2,621537519.0,177002924.0,28.5,444534595.0,71.5,2014
154,155,Logan,619021436.0,226277068.0,36.6,392744368.0,63.4,2017
155,156,The Lost World: Jurassic Park,618638999.0,229086679.0,37.0,389552320.0,63.0,1997
156,157,Casino Royale,616501619.0,167445960.0,27.2,449055659.0,72.8,2006
157,158,The Passion of the Christ,612054428.0,370782930.0,60.6,241271498.0,39.4,2004
158,159,Mamma Mia!,609896805.0,144169664.0,23.6,465727141.0,76.4,2008
159,160,Life of Pi,609016565.0,124987023.0,20.5,484029542.0,79.5,2012
160,161,Transformers: The Last Knight,605425157.0,130168683.0,21.5,475256474.0,78.5,2017
161,162,Madagascar: Escape 2 Africa,603900354.0,180010950.0,29.8,423889404.0,70.2,2008
162,163,War of the Worlds,603873119.0,234280354.0,38.8,369592765.0,61.2,2005
163,164,Tangled,592461732.0,200821936.0,33.9,391639796.0,66.1,2010
