,Unnamed: 0_x,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year_x,Unnamed: 0_y,Color,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,Year_y,IMDb Score,Movie Facebook Likes
538,744,751,The Expendables 3,214657577.0,39322544.0,18.3,175335033.0,81.7,2014,317,Color,131.0,385.0,26000.0,Action|Adventure|Thriller,127258,52610,English,USA,PG-13,2014,6.1,56000
539,746,753,Pulp Fiction,214179088.0,107928762.0,50.4,106250326.0,49.6,1994,3355,Color,178.0,16000.0,13000.0,Crime|Drama,1324680,16557,English,USA,R,1994,8.9,45000
540,747,754,Public Enemies,214104620.0,97104620.0,45.4,117000000.0,54.6,2009,289,Color,140.0,0.0,40000.0,Biography|Crime|Drama|History|Romance,230931,64599,English,USA,R,2009,7.0,0
541,749,756,The Bourne Identity,214034224.0,121661683.0,56.8,92372541.0,43.2,2002,716,Color,119.0,218.0,13000.0,Action|Mystery|Thriller,407601,13249,English,USA,PG-13,2002,7.9,0
542,750,757,Disclosure,214015089.0,83015089.0,38.8,131000000.0,61.2,1994,853,Color,128.0,272.0,2000.0,Drama|Thriller,36587,3888,English,USA,R,1994,6.0,0
543,751,758,The Aviator,213719942.0,102610330.0,48.0,111109612.0,52.0,2004,257, Black and White,170.0,17000.0,29000.0,Biography|Drama,264318,34582,English,USA,PG-13,2004,7.5,0
544,752,759,"Crouching Tiger, Hidden Dragon",213525736.0,128078872.0,60.0,85446864.0,40.0,2000,2605,Color,120.0,0.0,103.0,Action|Drama|Romance,217740,129,Mandarin,Taiwan,PG-13,2000,7.9,0
545,753,760,Braveheart,213216216.0,75609945.0,35.5,137606271.0,64.5,1995,573,Color,178.0,0.0,906.0,Biography|Drama|History|War,736638,1976,English,USA,R,1995,8.4,17000
546,754,761,Into the Woods,212902372.0,128002372.0,60.1,84900000.0,39.9,2014,945,Color,125.0,252.0,40000.0,Adventure|Comedy|Drama|Fantasy|Musical,101178,62837,English,USA,PG,2014,6.0,90000
547,755,762,Bedtime Stories,212874864.0,110101975.0,51.7,102772889.0,48.3,2008,456,Color,99.0,163.0,11000.0,Comedy|Family|Fantasy|Romance,72326,12831,English,USA,PG,2008,6.1,0
548,756,763,Miss Congeniality,212742720.0,106807667.0,50.2,105935053.0,49.8,2000,1076,Color,109.0,80.0,545.0,Action|Comedy|Crime|Romance,137377,1574,English,USA,PG-13,2000,6.2,0
549,757,764,Entrapment,212404396.0,87704396.0,41.3,124700000.0,58.7,1999,644,Color,113.0,36.0,537.0,Action|Crime|Romance|Thriller,88132,1302,English,USA,PG-13,1999,6.2,0
550,758,765,Ace Ventura: When Nature Calls,212385533.0,108385533.0,51.0,104000000.0,49.0,1995,1597,Color,90.0,176.0,531.0,Adventure|Comedy,160321,2203,English,USA,PG-13,1995,6.3,0
551,759,766,End of Days,211989043.0,66889043.0,31.6,145100000.0,68.4,1999,306,Color,121.0,0.0,1000.0,Action|Fantasy|Horror|Mystery,89509,3903,English,USA,R,1999,5.7,2000
552,761,768,Battle Los Angeles,211819354.0,83552429.0,39.4,128266925.0,60.6,2011,601,Color,116.0,473.0,833.0,Action|Sci-Fi,154955,4001,English,USA,PG-13,2011,5.8,25000
553,762,769,Fury,211817906.0,85817906.0,40.5,126000000.0,59.5,2014,470,Color,134.0,452.0,11000.0,Action|Drama|War,303185,20411,English,USA,R,2014,7.6,82000
554,763,770,Australia,211787511.0,49554002.0,23.4,162233509.0,76.6,2008,196,Color,165.0,1000.0,309.0,Adventure|Drama|Romance|War,102338,921,English,Australia,PG-13,2008,6.6,0
555,764,771,Due Date,211780824.0,100539043.0,47.5,111241781.0,52.5,2010,662,Color,95.0,480.0,21000.0,Comedy|Drama,272789,23018,English,USA,R,2010,6.6,25000
556,765,772,Master and Commander: The Far Side of the World,211622535.0,93927920.0,44.4,117694615.0,55.6,2003,173,Color,138.0,608.0,613.0,Action|Adventure|Drama|History|War,168207,1205,English,USA,PG-13,2003,7.4,0
557,767,774,District 9,210888950.0,115646235.0,54.8,95242715.0,45.2,2009,1601,Color,112.0,662.0,2000.0,Action|Sci-Fi|Thriller,531737,2639,English,South Africa,R,2009,8.0,22000
558,768,775,The Jungle Book,210310084.0,141843612.0,67.4,68466472.0,32.599999999999994,1967,1805,Color,106.0,4000.0,19000.0,Adventure|Drama|Family|Fantasy,106221,32921,English,UK,PG,2016,7.8,65000
559,769,776,Moonraker,210308099.0,70308099.0,33.4,140000000.0,66.6,1979,1577,Color,126.0,43.0,244.0,Action|Adventure|Sci-Fi|Thriller,69534,1008,English,UK,PG,1979,6.3,0
560,770,777,The Others,209947037.0,96522687.0,46.0,113424350.0,54.0,2001,2485,Color,101.0,448.0,482.0,Fantasy|Horror|Thriller,268581,956,English,USA,PG-13,2001,7.6,20000
561,771,778,Horrible Bosses,209838559.0,117538559.0,56.0,92300000.0,44.0,2011,1406,Color,106.0,91.0,18000.0,Comedy|Crime,353442,18669,English,USA,R,2011,6.9,31000
562,772,780,Red Dragon,209196298.0,93149898.0,44.5,116046400.0,55.5,2002,512,Color,124.0,420.0,22000.0,Crime|Drama|Thriller,204063,35867,English,Germany,R,2002,7.2,0
563,773,781,Tomorrowland,209035668.0,93436322.0,44.7,115599346.0,55.3,2015,88,Color,130.0,663.0,2000.0,Action|Adventure|Family|Mystery|Sci-Fi,128306,5046,English,USA,PG,2015,6.5,37000
564,774,782,Me Before You,208314186.0,56245075.0,27.0,152069111.0,73.0,2016,2178,Color,110.0,17.0,11000.0,Drama|Romance,44723,21852,English,UK,PG-13,2016,7.6,51000
565,775,783,Safe House,208076205.0,126373434.0,60.7,81702771.0,39.3,2012,405,Color,115.0,79.0,18000.0,Action|Crime|Mystery|Thriller,166693,36237,English,USA,R,2012,6.8,19000
566,776,784,S.W.A.T.,207725639.0,116934650.0,56.3,90790989.0,43.7,2003,592,Color,117.0,69.0,10000.0,Action|Adventure|Crime|Thriller,119807,14486,English,USA,PG-13,2003,6.0,0
567,777,785,Traffic,207515725.0,124115725.0,59.8,83400000.0,40.2,2000,1038,Color,190.0,0.0,599.0,Crime|Drama|Thriller,170684,1418,English,USA,R,2000,7.6,0
568,778,786,The Fast and the Furious,207284863.0,144533925.0,69.7,62750938.0,30.3,2001,395,Color,106.0,357.0,23000.0,Action|Crime|Thriller,272223,45327,English,USA,PG-13,2001,6.7,14000
569,779,787,Paranormal Activity 3,207039844.0,104028807.0,50.2,103011037.0,49.8,2011,3701,Color,94.0,24.0,581.0,Horror,76828,2371,English,USA,R,2011,5.8,24000
570,780,788,Philadelphia,206678440.0,77446440.0,37.5,129232000.0,62.5,1993,2572,Color,125.0,438.0,18000.0,Drama,178731,33865,English,USA,PG-13,1993,7.7,0
571,782,790,The Holiday,205841885.0,63224849.0,30.7,142617036.0,69.3,2006,408,Color,138.0,278.0,14000.0,Comedy|Romance,182757,17423,English,USA,PG-13,2006,6.9,19000
572,783,791,London Has Fallen,205754447.0,62524260.0,30.4,143230187.0,69.6,2016,762,Color,99.0,24.0,18000.0,Action|Crime|Drama|Thriller,69484,20276,English,UK,R,2016,5.9,28000
573,785,793,The Break-Up,205668210.0,118703275.0,57.7,86964935.0,42.3,2006,913,Color,106.0,235.0,4000.0,Comedy|Drama|Romance,102167,8315,English,USA,PG-13,2006,5.8,0
574,787,795,JFK,205405498.0,70405498.0,34.3,135000000.0,65.7,1991,1217, Black and White,206.0,0.0,433.0,Drama|History|Thriller,113472,698,English,France,R,1991,8.0,0
575,788,796,White House Down,205366737.0,73103784.0,35.6,132262953.0,64.4,2013,142,Color,131.0,776.0,17000.0,Action|Drama|Thriller,164238,18204,English,USA,PG-13,2013,6.4,33000
576,789,797,Fun with Dick and Jane,204681899.0,110332737.0,53.9,94349162.0,46.1,2005,157,Color,90.0,23.0,957.0,Comedy|Crime,110788,1997,English,USA,PG-13,2005,6.1,2000
577,790,798,Eat Pray Love,204594016.0,80574010.0,39.4,124020006.0,60.6,2010,731,Color,140.0,708.0,11000.0,Drama|Romance,63493,20440,English,USA,PG-13,2010,5.7,26000
578,791,799,You Don't Mess with the Zohan,204313400.0,100018837.0,49.0,104294563.0,51.0,2008,371,Color,113.0,221.0,11000.0,Action|Comedy,156348,13446,English,USA,PG-13,2008,5.5,0
579,793,801,Hairspray,203552922.0,118871849.0,58.4,84681073.0,41.6,2007,531,Color,117.0,163.0,719.0,Comedy|Drama|Family|Music|Musical|Romance,98693,1673,English,USA,PG,2007,6.7,0
580,794,802,Yogi Bear,203518375.0,100246011.0,49.3,103272364.0,50.7,2010,472,Color,80.0,40.0,3000.0,Adventure|Animation|Comedy|Family,16385,4394,English,USA,PG,2010,4.6,0
581,796,804,Vanilla Sky,203388341.0,100618344.0,49.5,102769997.0,50.5,2001,594,Color,141.0,488.0,10000.0,Fantasy|Mystery|Romance|Sci-Fi|Thriller,206776,11458,English,USA,R,2001,6.9,0
582,798,806,Need for Speed,203277636.0,43577636.0,21.4,159700000.0,78.6,2014,649,Color,132.0,76.0,3000.0,Action|Crime|Drama|Thriller,136954,7081,English,USA,PG-13,2014,6.5,32000
583,799,807,Ponyo,203204882.0,15743471.0,7.8,187461411.0,92.2,2008,1517,Color,101.0,6000.0,6.0,Adventure|Animation|Family|Fantasy,85589,13,Japanese,Japan,G,2008,7.7,0
584,800,808,Garfield,203172417.0,75369589.0,37.1,127802828.0,62.9,2004,954,Color,80.0,12.0,13000.0,Animation|Comedy|Family|Fantasy,58961,13430,English,USA,PG,2004,5.0,795
585,801,809,Little Women,203127575.0,107727575.0,53.0,95400000.0,47.0,2019,2625,Color,115.0,44.0,23000.0,Drama|Family|Romance,36624,29370,English,USA,PG,1994,7.3,0
586,803,811,Patch Adams,202292902.0,135026902.0,66.8,67266000.0,33.2,1998,933,Color,115.0,293.0,49000.0,Biography|Comedy|Drama|Romance,80580,74382,English,USA,PG-13,1998,6.7,0
587,804,812,Teenage Mutant Ninja Turtles,201965915.0,135265915.0,67.0,66700000.0,33.0,1990,2820,Color,101.0,473.0,833.0,Action|Adventure|Comedy|Sci-Fi,167089,2690,English,USA,PG-13,2014,5.9,62000
588,805,813,Kindergarten Cop,201957688.0,91457688.0,45.3,110500000.0,54.7,1990,1837,Color,111.0,425.0,743.0,Action|Comedy|Crime,107801,2403,English,USA,PG-13,1990,6.0,0
589,806,814,Straight Outta Compton,201634991.0,161197785.0,80.0,40437206.0,20.0,2015,1748,Color,167.0,473.0,559.0,Biography|Crime|Drama|History|Music,119928,2702,English,USA,R,2015,7.9,76000
590,807,815,21 Jump Street,201585328.0,138447667.0,68.7,63137661.0,31.3,2012,1154,Color,109.0,97.0,17000.0,Action|Comedy|Crime,408302,19968,English,USA,R,2012,7.2,39000
591,808,816,Valkyrie,201545517.0,83077833.0,41.2,118467684.0,58.8,2008,370,Color,121.0,0.0,10000.0,Drama|History|Thriller|War,183247,14165,English,USA,PG-13,2008,7.1,0
592,809,817,Open Season,200811689.0,85105259.0,42.4,115706430.0,57.6,2006,412,Color,83.0,28.0,4000.0,Adventure|Animation|Comedy|Family,65270,6081,English,USA,PG,2006,6.2,863
593,810,818,Cats & Dogs,200687492.0,93385515.0,46.5,107301977.0,53.5,2001,723,Color,87.0,6.0,3000.0,Action|Comedy|Family|Fantasy,46031,4171,English,USA,PG,2001,5.2,0
594,811,819,The Hunt for Red October,200512643.0,122012643.0,60.8,78500000.0,39.2,1990,1593,Color,135.0,323.0,826.0,Action|Adventure|Thriller,143696,2575,English,USA,PG,1990,7.6,0
595,812,820,Percy Jackson: Sea of Monsters,199850315.0,68559554.0,34.3,131290761.0,65.7,2013,378,Color,106.0,87.0,8000.0,Adventure|Family|Fantasy,86627,10882,English,USA,PG,2013,5.9,28000
596,813,821,Two Weeks Notice,199043242.0,93354851.0,46.9,105688391.0,53.1,2002,725,Color,101.0,30.0,1000.0,Comedy|Romance,85673,2636,English,USA,PG-13,2002,6.1,0
597,814,822,RED,199006387.0,90380162.0,45.4,108626225.0,54.6,2010,733,Color,111.0,124.0,13000.0,Action|Comedy|Crime|Thriller,238916,24928,English,USA,PG-13,2010,7.1,32000
598,815,823,City of Angels,198685114.0,78685114.0,39.6,120000000.0,60.4,1998,854,Color,114.0,52.0,12000.0,Drama|Fantasy|Romance,94407,13905,English,Germany,PG-13,1998,6.7,0
599,816,824,The Pacifier,198636868.0,113086868.0,56.9,85550000.0,43.1,2005,834,Color,95.0,163.0,14000.0,Action|Comedy|Drama|Family|Thriller,66308,16884,English,Canada,PG,2005,5.5,0
600,817,825,50 First Dates,198520934.0,120908074.0,60.9,77612860.0,39.1,2004,530,Color,99.0,88.0,11000.0,Comedy|Romance,266103,12952,English,USA,PG-13,2004,6.8,11000
601,820,828,The Impossible,198087212.0,19019882.0,9.6,179067330.0,90.4,2012,1293,Color,114.0,171.0,6000.0,Drama|Thriller,145270,7099,English,Spain,PG-13,2012,7.6,54000
602,823,831,Jack the Giant Slayer,197687603.0,65187603.0,33.0,132500000.0,67.0,2013,49,Color,114.0,0.0,979.0,Adventure|Fantasy,106416,1766,English,USA,PG-13,2013,6.3,22000
603,825,833,Spy Kids 3-D: Game Over,197101678.0,111761982.0,56.7,85339696.0,43.3,2003,1191,Color,84.0,0.0,13000.0,Action|Adventure|Comedy|Family|Sci-Fi,40227,22935,English,USA,PG,2003,4.1,681
604,826,834,Panic Room,197079546.0,96397334.0,48.9,100682212.0,51.1,2002,1043,Color,112.0,21000.0,17000.0,Crime|Drama|Thriller,206104,18141,English,USA,R,2002,6.8,0
605,827,835,The Other Woman,196710396.0,83911193.0,42.7,112799203.0,57.3,2014,1222,Color,109.0,415.0,982.0,Comedy|Romance,104481,2357,English,USA,PG-13,2014,6.0,16000
606,829,837,Beowulf,196393745.0,82280579.0,41.9,114113166.0,58.1,2007,153,Color,115.0,0.0,18000.0,Action|Adventure|Animation|Fantasy,142440,31523,English,USA,PG-13,2007,6.3,3000
607,830,838,The Vow,196114570.0,125014030.0,63.8,71100540.0,36.2,2012,1590,Color,104.0,23.0,17000.0,Drama|Romance,145852,18322,English,USA,PG-13,2012,6.8,32000
608,832,840,Tropic Thunder,195702811.0,110515313.0,56.5,85187498.0,43.5,2008,363,Color,121.0,0.0,21000.0,Action|Comedy,307539,23484,English,USA,R,2008,7.0,0
609,834,842,The Pelican Brief,195268056.0,100768056.0,51.6,94500000.0,48.4,1993,1079,Color,141.0,79.0,18000.0,Crime|Drama|Mystery|Thriller,59569,30063,English,USA,PG-13,1993,6.5,0
610,835,843,The BFG,195243411.0,55483770.0,28.4,139759641.0,71.6,2016,178,Color,117.0,14000.0,535.0,Adventure|Family|Fantasy,12572,1950,English,UK,PG,2016,6.8,27000
611,837,845,The Intern,194564672.0,75764672.0,38.9,118800000.0,61.1,2015,1209,Color,121.0,278.0,22000.0,Comedy|Drama,130661,36010,English,USA,PG-13,2015,7.2,54000
612,841,849,The Sum of All Fears,193921372.0,118907036.0,61.3,75014336.0,38.7,2002,630,Color,124.0,31.0,11000.0,Action|Drama|Thriller,86504,12556,English,USA,PG-13,2002,6.4,0
613,842,850,Gangs of New York,193772504.0,77812000.0,40.2,115960504.0,59.8,2002,326,Color,216.0,17000.0,29000.0,Crime|Drama,314033,47657,English,USA,R,2002,7.5,0
614,844,852,Paranormal Activity,193355800.0,107918810.0,55.8,85436990.0,44.2,2009,4793,Color,84.0,110.0,189.0,Horror,184824,330,English,USA,R,2007,6.3,12000
615,845,853,The Equalizer,192330738.0,101530738.0,52.8,90800000.0,47.2,2014,848,Color,132.0,845.0,18000.0,Action|Crime|Thriller,229574,37605,English,USA,R,2014,7.2,56000
616,847,855,The Addams Family,191502426.0,113502426.0,59.3,78000000.0,40.7,1991,1596,Color,99.0,188.0,1000.0,Comedy|Fantasy,96607,3696,English,USA,PG-13,1991,6.8,5000
617,848,856,The Longest Yard,191466556.0,158119460.0,82.6,33347096.0,17.400000000000006,2005,447,Color,113.0,88.0,11000.0,Comedy|Crime|Sport,130070,13693,English,USA,PG-13,2005,6.4,0
618,849,857,Cheaper by the Dozen,190538630.0,138614544.0,72.8,51924086.0,27.200000000000006,2003,1193,Color,94.0,189.0,3000.0,Comedy|Family,75152,7014,English,USA,PG,2003,5.8,0
